Year,avg_late_aircraft_delay
2003,26.83783783783784
2004,20.43661971830986
2005,33.31428571428572
2006,31.875
2007,34.91463414634146
2008,27.223684210526315
2009,22.182926829268293
2010,28.033112582781456
